PlayID,Play,Play_CategoryID
1,All's Well That Ends Well,1
2,As You Like It,1
3,Comedy of Errors,1
4,Love's Labour's Lost,1
5,Measure for Measure,1
6,The Merchant of Venice,1
7,Merry Wives of Windsor,1
8,A Midsummer Night's Dream,1
9,Much Ado about Nothing,1
10,Taming of the Shrew,1
11,Tempest,1
12,Twelfth Night,1
13,Two Gentlemen of Verona,1
14,Winter's Tale,1
15,"Henry IV, Part I",2
16,"Henry IV, Part II",2
17,Henry V,2
18,Henry VI,2
19,Henry VIII,2
20,King John,2
21,Pericles,2
22,Richard II,2
23,Richard III,2
24,Antony and Cleopatra,3
25,Coriolanus,3
26,Cymbeline,3
27,Hamlet,3
28,Julius Caesar,3
29,King Lear,3
30,Macbeth,3
31,Othello,3
32,Romeo and Juliet,3
33,Timon of Athens,3
34,Titus Andronicus,3
35,Troilus and Cressida,3
