Key_TraitID,Key_Trait
1,Ambitious
2,Anxious
3,Arrogant
4,Authoritative
5,Bitter
6,Boastful
7,Bold
8,Brave
9,Calculating
10,Calm
11,Caring
12,Cautious
13,Charismatic
14,Clever
15,Cold
16,Comedic
17,Comic
18,Commanding
19,Compassionate
20,Composed
21,Concerned
22,Conflicted
23,Confused
24,Cooperative
25,Cowardly
26,Cruel
27,Cunning
28,Curious
29,Cynical
30,Deceitful
31,Deceptive
32,Delusional
33,Determined
34,Devoted
35,Devout
36,Dignified
37,Diplomatic
38,Disciplined
39,Dismissive
40,Divine
41,Drunken
42,Dutiful
43,Eager
44,Eloquent
45,Emotional
46,Envious
47,Faithful
48,Fearless
49,Fickle
50,Fierce
51,Fiery
52,Foolish
53,Formal
54,Generous
55,Gentle
56,Gluttonous
57,Greedy
58,Grieving
59,Grumpy
60,Guilt-ridden
61,Guilty
62,Gullible
63,Harsh
64,Headstrong
65,Helpful
66,Honest
67,Honorable
68,Honourable
69,Hospitable
70,Hot-headed
71,Idealistic
72,Imaginative
73,Impulsive
74,Indecisive
75,Independent
76,Innocent
77,Insecure
78,Insightful
79,Inspirational
80,Intelligent
81,Jealous
82,Just
83,Kind
84,Lazy
85,Learned
86,Logical
87,Loving
88,Loyal
89,Mad
90,Manipulative
91,Meek
92,Melancholic
93,Misanthropic
94,Mischievous
95,Mocking
96,Mournful
97,Mystical
98,Naive
99,Naïve
100,Nervous
101,Noble
102,Nosy
103,Obedient
104,Observant
105,Opportunistic
106,Paranoid
107,Passionate
108,Passive
109,Patriotic
110,Pedantic
111,Persistent
112,Persuasive
113,Philosophical
114,Pious
115,Playful
116,Polite
117,Political
118,Possessive
119,Powerful
120,Power-hungry
121,Practical
122,Pragmatic
123,Prophetic
124,Protective
125,Proud
126,Quiet
127,Rational
128,Rebellious
129,Reckless
130,Reflective
131,Regal
132,Reluctant
133,Repentant
134,Reserved
135,Resilient
136,Resolute
137,Resourceful
138,Respectful
139,Romantic
140,Royal
141,Ruthless
142,Sarcastic
143,Scheming
144,Scholarly
145,Selfless
146,Sharp-tongued
147,Shrewd
148,Simple
149,Stoic
150,Strategic
151,Strong-willed
152,Stubborn
153,Superstitious
154,Supportive
155,Sympathetic
156,Tactician
157,Talkative
158,Theatrical
159,Timid
160,Traditional
161,Tragic
162,Troubled
163,Trusting
164,Trustworthy
165,Tyrannical
166,Unnamed
167,Unsuspecting
168,Vain
169,Vengeful
170,Violent
171,Virtuous
172,Vulnerable
173,Wavering
174,Weak
175,Wise
176,Witty
177,Zealous
